USER,LOCATION,CREATED,TWEET,FAVCOUNT,COORDS,FOLLOWERS,sentiment
@Erikpintor,CERETE,2020-04-11 01:31:46,"""Un kilo de avena vale 14 mil pesos, según el contrato 041 de 2020 firmado entre la Alcaldía de Manaure y Gonzalo Vangrieken Márquez para entregar mercados a familias Wayuu por el COVID19"". Informa @ArmandoWayuu https://t.co/O98mqwduDm",0,,196,0.023729817540221784
@mafercao,MANIZALES,2020-04-11 01:31:47,Filosofía...drama...cuarentena.  #cuarentenamood #coronavirus https://t.co/2hRaANmklS,0,,58,0.43232590334622595
@jaclom69,BOGOTA,2020-04-11 01:31:49,"Mientras la criminalidad se redujo, la violencia intrafamiliar, específicamente contra la mujer, ha aumentado durante la cuarentena https://t.co/lyM3FTUP2J",0,,173,0.04663822322640696
@jjgongora3,COLOMBIA,2020-04-11 01:31:49,"Soy covid 19 positivo, me tomé el examen nuevamente porque ayer cumplía mi cuarentena de 14 días desde que me tomé mi primer examen y sigo estando positiva. 19 días después de que empecé con los sintomas. Este virus dura más de lo que se cree, cuidense mucho porfavor! 🙏🏽",0,,2730,0.012900016494557277
@Comin0,BOGOTA,2020-04-11 01:31:50,@carlojarturo Pero al menos a Crackera ponían en el top cuando lo merecía no como a Jan.,0,,12104,0.4728152881001796
@omarherb,COLOMBIA,2020-04-11 01:31:53,😜😜 https://t.co/TLRwtAUPy7,0,,983,0.3573939275066913
@luismree,BOGOTA,2020-04-11 01:31:53,😡😐,0,,946,0.541333260777616
@Mpestana1893,BARRANQUILLA,2020-04-11 01:31:54,"#COVID__19 | Desde que inició la pandemia del Covid-19 😷, las grandes ciudades 🏙️ cómo Roma, Nueva York, París, se han paralizado.  Ambientalistas aseguran que la pandemia ha dado un respiro al planeta 🌏, pero es muy pronto para sacar conclusiones. https://t.co/rfWDxkIdGd",0,,574,0.5108331617853384
@MaoCelisCa,COLOMBIA,2020-04-11 01:31:56,"Vi un video donde gran parte de la población China despide a todos los médicos que apoyaron el tema de la pandemia y Dios mío, lloré 😭, es impactante como una ciudad se levanta nuevamente",0,,10944,0.757916483533296
@jaderoriginal,MEDELLIN,2020-04-11 01:31:57,@AlexParraM9 Disque perdió el bb y x eso no estuvo concentrado.. recuerdo que en el de ida.. siendo la figura del FPC en esos momentos no jugó el primer tiempo... Bobo hp,0,,133,0.0005716321016792062
@CafeUniverso7,BOGOTA,2020-04-11 01:31:59,¡El último Cafe Universo! https://t.co/WNTNJMr58u #covid19 #cosmos,0,,2,0.6906760649796708
@APadillaBossio,CIENAGA,2020-04-11 01:31:59,"Soy covid 19 positivo, me tomé el examen nuevamente porque ayer cumplía mi cuarentena de 14 días desde que me tomé mi primer examen y sigo estando positiva. 19 días después de que empecé con los sintomas. Este virus dura más de lo que se cree, cuidense mucho porfavor! 🙏🏽",0,,5968,0.012900016494557277
@C_Roncallo12,BARRANQUILLA,2020-04-11 01:31:58,"Este muchacho que se la pasa en la vía 40 con murillo. Se que estamos muy ocupados con lo de la pandemia, pero ojala se pueda hacer algo por esta persona. @alcaldiabquilla @jaimepumarejo https://t.co/vgQyOFUTwG",0,,86,0.22403121061345693
@Se_basMorales,ARMENIA,2020-04-11 01:32:01,Jejejej nos vamos a morir jajaja que no quede nadie hp jajajs,0,,522,0.09842265305246958
@juantdec,COLOMBIA,2020-04-11 01:32:02,"“Dios es aliado nuestro, no del virus”: la homilía de Viernes Santo en el Vaticano https://t.co/9rXVhcmdPm",0,,21,0.32977381562717356
@Oskar_Diego,COLOMBIA,2020-04-11 01:32:02,@merymoisa @Ivon_RiveraA @Colecfeminista @liaburgos1310 @Anxelique @apeselsalvador @idhuca @PDDHElSalvador Den apoyo a la gente   que tiene el virus no aestas lacras,0,,227,0.5373861542351178
@daaani01_,COLOMBIA,2020-04-11 01:32:03,Love this idea: Medics tape photos of themselves smiling on their PPE so patients can see a reassuring &amp; friendly face. Human connection + compassion creatively maintained #covid19 https://t.co/tKhUDJrqKN https://t.co/GKKzrM05SC,0,,76,0.005337828690036963
@JairoRuiz1968,BOGOTA,2020-04-11 01:32:04,"@PalomaValenciaL Pido disculpas. No leí bien y es del 2019, lo que pasa es que con ustedes puede pasar cualquier cosa",0,,99,0.059906521282960735
@buena_nea,SOACHA,2020-04-11 01:32:05,@7ski5nny0 👃🏻,0,,209,0.9639160397127305
@DianaM_Escobar,COLOMBIA,2020-04-11 01:32:06,El día que se acabe la cuarentena: https://t.co/rAS9h1LK2S,0,,1561,0.16449240130386725
@martik1214,VALLE,2020-04-11 01:32:06,"Inconcebible que en plena pandemia en la que está el mundo, los simpatizantes de @petrogustavo sin respetar su lecho de enfermo, maldigan la buena salud de @AlvaroUribeVel. Ni siquiera el momento por el que está pasando su líder les ablanda sus corazones. #PaisDeMamarrachos",0,,3668,0.1207833885535821
@gustavogamboa7,COLOMBIA,2020-04-11 01:32:06,"Señores @PoliciaStander @PoliciaBmanga estos señores están violando el aislamiento obligatorio, promueven la propagación de virus sin mantener la distancia preventiva. Lo peor un diputado de #santander y 2 concejales de #Bucaramanga @FerleyProfe @danovislozano @CarlosParraBUC https://t.co/Kcx1ZsGd4D",0,,115,0.0038057553253815447
@jodalzateca,MEDELLIN,2020-04-11 01:32:07,O saco brazo esta cuarentena o muero en el intento 🤘🏼🤪 #CabrasEnCasa https://t.co/WUYjaYNxo0,0,,49,0.09672485270450089
@edwinhelitt,COLOMBIA,2020-04-11 01:32:09,"Este gobierno MISERABLE se está preparando para UN ALZAMIENTO popular una vez termine la pandemia  El PUEBLO cobrará cada SAQUEO y ROBO del que ha sido VÍCTIMA por parte d Alparaco @AlvaroUribeVel el @CeDemocratico e @IvanDuque,así como por la RESPONSABILIDAD por la #NenePolitica",0,,621,0.024959367230169293
