Codigo Departamento,Codigo Municipio,Municipio,Total ,Cabeceras,Centros poblados y rural disperso
86,86865,VALLE DEL GUAMUEZ,41.0,34.8,46.9
86,86885,VILLAGARZÓN,37.1,28.8,48.7
88,88001,SAN ANDRÉS,16.8,17.6,15.1
88,88564,PROVIDENCIA,13.7,12.1,15.0
91,91001,LETICIA,48.4,41.9,67.8
91,91263,EL ENCANTO (ANM),77.5,,77.5
91,91405,LA CHORRERA (ANM),88.1,,88.1
91,91407,LA PEDRERA (ANM),90.9,,90.9
91,91430,LA VICTORIA (ANM),96.4,,96.4
91,91460,MIRITÍ - PARANÁ (ANM),91.2,,91.2
91,91530,PUERTO ALEGRÍA (ANM),82.4,,82.4
91,91536,PUERTO ARICA (ANM),84.6,,84.6
91,91540,PUERTO NARIÑO,70.4,51.6,79.2
91,91669,PUERTO SANTANDER (ANM),88.7,,88.7
91,91798,TARAPACÁ (ANM),80.0,,80.0
94,94001,INÍRIDA,67.2,59.5,85.6
94,94343,BARRANCOMINAS (ANM),86.5,,86.5
94,94663,MAPIRIPANA (ANM),95.5,,95.5
94,94883,SAN FELIPE (ANM),88.3,,88.3
94,94884,PUERTO COLOMBIA (ANM),96.3,,96.3
94,94885,LA GUADALUPE (ANM),84.1,,84.1
94,94886,CACAHUAL (ANM),90.1,,90.1
94,94887,PANA PANA (ANM),98.5,,98.5
94,94888,MORICHAL (ANM),95.7,,95.7
95,95001,SAN JOSÉ DEL GUAVIARE,42.1,33.8,65.1
95,95015,CALAMAR,58.0,54.7,61.3
95,95025,EL RETORNO,51.5,33.4,59.2
95,95200,MIRAFLORES,66.7,54.7,73.0
97,97001,MITÚ,74.8,44.9,91.4
97,97161,CARURÚ,81.1,60.3,94.8
97,97511,PACOA (ANM),98.4,,98.4
97,97666,TARAIRA,85.6,57.4,99.2
97,97777,PAPUNAHUA (ANM),97.9,,97.9
97,97889,YAVARATÉ (ANM),94.8,,94.8
99,99001,PUERTO CARREÑO,55.7,47.6,76.4
99,99524,LA PRIMAVERA,63.2,57.0,71.9
99,99624,SANTA ROSALÍA,56.8,50.1,68.4
99,99773,CUMARIBO,91.4,43.2,94.9
